id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percentmale,percentfemale,preevolution,egggroup1,egggroup2
36,36,Clefable,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,88.2 lbs.,"4'03""",Fairy Pokemon,0.25,0.75,Clefairy,Fairy,
37,37,Vulpix,Vulpix,Fire,,Flash Fire,,Drought,38,41,40,50,65,65,299,21.8 lbs.,"2'00""",Fox Pokemon,0.25,0.75,,Field,
38,38,Ninetales,Ninetales,Fire,,Flash Fire,,Drought,73,76,75,81,100,100,505,43.9 lbs.,"3'07""",Fox Pokemon,0.25,0.75,Vulpix,Field,
39,39,Jigglypuff,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,12.1 lbs.,"1'08""",Balloon Pokemon,0.25,0.75,Igglybuff,Fairy,
40,40,Wigglytuff,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,26.5 lbs.,"3'03""",Balloon Pokemon,0.25,0.75,Jigglypuff,Fairy,
41,41,Zubat,Zubat,Poison,Flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,245,16.5 lbs.,"2'07""",Bat Pokemon,0.5,0.5,,Flying,
42,42,Golbat,Golbat,Poison,Flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,455,121.3 lbs.,"5'03""",Bat Pokemon,0.5,0.5,Zubat,Flying,
43,43,Oddish,Oddish,Grass,Poison,Chlorophyll,,Run Away,45,50,55,75,65,30,320,11.9 lbs.,"1'08""",Weed Pokemon,0.5,0.5,,Grass,
44,44,Gloom,Gloom,Grass,Poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,19.0 lbs.,"2'07""",Weed Pokemon,0.5,0.5,Oddish,Grass,
45,45,Vileplume,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,490,41.0 lbs.,"3'11""",Flower Pokemon,0.5,0.5,Gloom,Grass,
46,46,Paras,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,11.9 lbs.,"1'00""",Mushroom Pokemon,0.5,0.5,,Bug,Grass
47,47,Parasect,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,65.0 lbs.,"3'03""",Mushroom Pokemon,0.5,0.5,Paras,Bug,Grass
48,48,Venonat,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,66.1 lbs.,"3'03""",Insect Pokemon,0.5,0.5,,Bug,
49,49,Venomoth,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,27.6 lbs.,"4'11""",Poison Moth Pokemon,0.5,0.5,Venonat,Bug,
50,50,Diglett,Diglett,Ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1.8 lbs.,"0'08""",Mole Pokemon,0.5,0.5,,Field,
51,51,Dugtrio,Dugtrio,Ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,73.4 lbs.,"2'04""",Mole Pokemon,0.5,0.5,Diglett,Field,
52,52,Meowth,Meowth,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,9.3 lbs.,"1'04""",Scratch Cat Pokemon,0.5,0.5,,Field,
53,53,Persian,Persian,Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,70.5 lbs.,"3'03""",Classy Cat Pokemon,0.5,0.5,Meowth,Field,
54,54,Psyduck,Psyduck,Water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,43.2 lbs.,"2'07""",Duck Pokemon,0.5,0.5,,Water 1,Field
55,55,Golduck,Golduck,Water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,168.9 lbs.,"5'07""",Duck Pokemon,0.5,0.5,Psyduck,Water 1,Field
56,56,Mankey,Mankey,Fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,61.7 lbs.,"1'08""",Pig Monkey Pokemon,0.5,0.5,,Field,
57,57,Primeape,Primeape,Fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,70.5 lbs.,"3'03""",Pig Monkey Pokemon,0.5,0.5,Mankey,Field,
58,58,Growlithe,Growlithe,Fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,41.9 lbs.,"2'04""",Puppy Pokemon,0.75,0.25,,Field,
59,59,Arcanine,Arcanine,Fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,341.7 lbs.,"6'03""",Legendary Pokemon,0.75,0.25,Growlithe,Field,
60,60,Poliwag,Poliwag,Water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,27.3 lbs.,"2'00""",Tadpole Pokemon,0.5,0.5,,Water 1,
61,61,Poliwhirl,Poliwhirl,Water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,44.1 lbs.,"3'03""",Tadpole Pokemon,0.5,0.5,Poliwag,Water 1,
62,62,Poliwrath,Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,119.0 lbs.,"4'03""",Tadpole Pokemon,0.5,0.5,Poliwhirl,Water 1,
63,63,Abra,Abra,Psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,43.0 lbs.,"2'11""",Psi Pokemon,0.75,0.25,,Human-Like,
64,64,Kadabra,Kadabra,Psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,124.6 lbs.,"4'03""",Psi Pokemon,0.75,0.25,Abra,Human-Like,
65,65,Alakazam,Alakazam,Psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,105.8 lbs.,"4'11""",Psi Pokemon,0.75,0.25,Kadabra,Human-Like,
66,66,Machop,Machop,Fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,43.0 lbs.,"2'07""",Superpower Pokemon,0.75,0.25,,Human-Like,
67,67,Machoke,Machoke,Fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,155.4 lbs.,"4'11""",Superpower Pokemon,0.75,0.25,Machop,Human-Like,
68,68,Machamp,Machamp,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,286.6 lbs.,"5'03""",Superpower Pokemon,0.75,0.25,Machoke,Human-Like,
69,69,Bellsprout,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,300,8.8 lbs.,"2'04""",Flower Pokemon,0.5,0.5,,Grass,
70,70,Weepinbell,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,390,14.1 lbs.,"3'03""",Flycatcher Pokemon,0.5,0.5,Bellsprout,Grass,
71,71,Victreebel,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,490,34.2 lbs.,"5'07""",Flycatcher Pokemon,0.5,0.5,Weepinbell,Grass,
72,72,Tentacool,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,100.3 lbs.,"2'11""",Jellyfish Pokemon,0.5,0.5,,Water 3,
73,73,Tentacruel,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,121.3 lbs.,"5'03""",Jellyfish Pokemon,0.5,0.5,Tentacool,Water 3,
74,74,Geodude,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,44.1 lbs.,"1'04""",Rock Pokemon,0.5,0.5,,Mineral,
75,75,Graveler,Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,231.5 lbs.,"3'03""",Rock Pokemon,0.5,0.5,Geodude,Mineral,
76,76,Golem,Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,661.4 lbs.,"4'07""",Megaton Pokemon,0.5,0.5,Graveler,Mineral,
77,77,Ponyta,Ponyta,Fire,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,66.1 lbs.,"3'03""",Fire Horse Pokemon,0.5,0.5,,Field,
78,78,Rapidash,Rapidash,Fire,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,209.4 lbs.,"5'07""",Fire Horse Pokemon,0.5,0.5,Ponyta,Field,
79,79,Slowpoke,Slowpoke,Water,Psychic,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,79.4 lbs.,"3'11""",Dopey Pokemon,0.5,0.5,,Monster,Water 1
80,80,Slowbro,Slowbro,Water,Psychic,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,173.1 lbs.,"5'03""",Hermit Crab Pokemon,0.5,0.5,Slowpoke,Monster,Water 1
81,81,Magnemite,Magnemite,Electric,Steel,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,13.2 lbs.,"1'00""",Magnet Pokemon,,,,Mineral,
82,82,Magneton,Magneton,Electric,Steel,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,132.3 lbs.,"3'03""",Magnet Pokemon,,,Magnemite,Mineral,
83,83,Farfetch??d,Farfetch??d,Normal,Flying,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,33.1 lbs.,"2'07""",Wild Duck Pokemon,0.5,0.5,,Flying,Field
84,84,Doduo,Doduo,Normal,Flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,86.4 lbs.,"4'07""",Twin Bird Pokemon,0.5,0.5,,Flying,
85,85,Dodrio,Dodrio,Normal,Flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,100,460,187.8 lbs.,"5'11""",Triple Bird Pokemon,0.5,0.5,Doduo,Flying,
86,86,Seel,Seel,Water,,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,198.4 lbs.,"3'07""",Sea Lion Pokemon,0.5,0.5,,Water 1,Field
87,87,Dewgong,Dewgong,Water,Ice,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,264.6 lbs.,"5'07""",Sea Lion Pokemon,0.5,0.5,Seel,Water 1,Field
88,88,Grimer,Grimer,Poison,,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,66.1 lbs.,"2'11""",Sludge Pokemon,0.5,0.5,,Amorphous,
89,89,Muk,Muk,Poison,,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,66.1 lbs.,"3'11""",Sludge Pokemon,0.5,0.5,Grimer,Amorphous,
90,90,Shellder,Shellder,Water,,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,8.8 lbs.,"1'00""",Bivalve Pokemon,0.5,0.5,,Water 3,
91,91,Cloyster,Cloyster,Water,Ice,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,292.1 lbs.,"4'11""",Bivalve Pokemon,0.5,0.5,Shellder,Water 3,
92,92,Gastly,Gastly,Ghost,Poison,Levitate,,,30,35,30,100,35,80,310,0.2 lbs.,"4'03""",Gas Pokemon,0.5,0.5,,Amorphous,
93,93,Haunter,Haunter,Ghost,Poison,Levitate,,,45,50,45,115,55,95,405,0.2 lbs.,"5'03""",Gas Pokemon,0.5,0.5,Gastly,Amorphous,
94,94,Gengar,Gengar,Ghost,Poison,Cursed Body,Cursed Body,Cursed Body,60,65,60,130,75,110,500,89.3 lbs.,"4'11""",Shadow Pokemon,0.5,0.5,Haunter,Amorphous,
95,95,Onix,Onix,Rock,Ground,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,463.0 lbs.,"28'10""",Rock Snake Pokemon,0.5,0.5,,Mineral,
96,96,Drowzee,Drowzee,Psychic,,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,71.4 lbs.,"3'03""",Hypnosis Pokemon,0.5,0.5,,Human-Like,
97,97,Hypno,Hypno,Psychic,,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,166.7 lbs.,"5'03""",Hypnosis Pokemon,0.5,0.5,Drowzee,Human-Like,
98,98,Krabby,Krabby,Water,,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,14.3 lbs.,"1'04""",River Crab Pokemon,0.5,0.5,,Water 3,
99,99,Kingler,Kingler,Water,,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,132.3 lbs.,"4'03""",Pincer Pokemon,0.5,0.5,Krabby,Water 3,
100,100,Voltorb,Voltorb,Electric,,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,22.9 lbs.,"1'08""",Ball Pokemon,,,,Mineral,
101,101,Electrode,Electrode,Electric,,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,146.8 lbs.,"3'11""",Ball Pokemon,,,Voltorb,Mineral,
102,102,Exeggcute,Exeggcute,Grass,Psychic,Chlorophyll,,Harvest,60,40,80,60,45,40,325,5.5 lbs.,"1'04""",Egg Pokemon,0.5,0.5,,Grass,
103,103,Exeggutor,Exeggutor,Grass,Psychic,Chlorophyll,,Harvest,95,95,85,125,75,55,530,264.6 lbs.,"6'07""",Coconut Pokemon,0.5,0.5,Exeggcute,Grass,
104,104,Cubone,Cubone,Ground,,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,14.3 lbs.,"1'04""",Lonely Pokemon,0.5,0.5,,Monster,
105,105,Marowak,Marowak,Ground,,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,99.2 lbs.,"3'03""",Bone Keeper Pokemon,0.5,0.5,Cubone,Monster,
106,106,Hitmonlee,Hitmonlee,Fighting,,Limber,Reckless,Unburden,50,120,53,35,110,87,455,109.8 lbs.,"4'11""",Kicking Pokemon,1,0,Tyrogue,Human-Like,
107,107,Hitmonchan,Hitmonchan,Fighting,,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,110.7 lbs.,"4'07""",Punching Pokemon,1,0,Tyrogue,Human-Like,
108,108,Lickitung,Lickitung,Normal,,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,144.4 lbs.,"3'11""",Licking Pokemon,0.5,0.5,,Monster,
109,109,Koffing,Koffing,Poison,,Levitate,,,40,65,95,60,45,35,340,2.2 lbs.,"2'00""",Poison Gas Pokemon,0.5,0.5,,Amorphous,
110,110,Weezing,Weezing,Poison,,Levitate,,,65,90,120,85,70,60,490,20.9 lbs.,"3'11""",Poison Gas Pokemon,0.5,0.5,Koffing,Amorphous,
111,111,Rhyhorn,Rhyhorn,Ground,Rock,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,253.5 lbs.,"3'03""",Spikes Pokemon,0.5,0.5,,Monster,Field
112,112,Rhydon,Rhydon,Ground,Rock,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,264.6 lbs.,"6'03""",Drill Pokemon,0.5,0.5,Rhyhorn,Monster,Field
113,113,Chansey,Chansey,Normal,,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,76.3 lbs.,"3'07""",Egg Pokemon,0,1,Happiny,Fairy,
114,114,Tangela,Tangela,Grass,,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,77.2 lbs.,"3'03""",Vine Pokemon,0.5,0.5,,Grass,
115,115,Kangaskhan,Kangaskhan,Normal,,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,176.4 lbs.,"7'03""",Parent Pokemon,0,1,,Monster,
116,116,Horsea,Horsea,Water,,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,17.6 lbs.,"1'04""",Dragon Pokemon,0.5,0.5,,Water 1,Dragon
117,117,Seadra,Seadra,Water,,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,55.1 lbs.,"3'11""",Dragon Pokemon,0.5,0.5,Horsea,Water 1,Dragon
118,118,Goldeen,Goldeen,Water,,Swift Swim,Sniper,Damp,45,67,60,35,50,63,320,33.1 lbs.,"2'00""",Goldfish Pokemon,0.5,0.5,,Water 2,
119,119,Seaking,Seaking,Water,,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,86.0 lbs.,"4'03""",Goldfish Pokemon,0.5,0.5,Goldeen,Water 2,
120,120,Staryu,Staryu,Water,,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,76.1 lbs.,"2'07""",Star Shape Pokemon,,,,Water 3,
121,121,Starmie,Starmie,Water,Psychic,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,176.4 lbs.,"3'07""",Mysterious Pokemon,,,Staryu,Water 3,
122,122,Mr. Mime,Mr. Mime,Psychic,Fairy,Soundproof,Filter,Technician,40,45,65,100,120,90,460,120.1 lbs.,"4'03""",Barrier Pokemon,0.5,0.5,Mime Jr.,Human-Like,
123,123,Scyther,Scyther,Bug,Flying,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,123.5 lbs.,"4'11""",Mantis Pokemon,0.5,0.5,,Bug,
124,124,Jynx,Jynx,Ice,Psychic,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,89.5 lbs.,"4'07""",Human Shape Pokemon,0,1,Smoochum,Human-Like,
125,125,Electabuzz,Electabuzz,Electric,,Static,,Vital Spirit,65,83,57,95,85,105,490,66.1 lbs.,"3'07""",Electric Pokemon,0.75,0.25,Elekid,Human-Like,
126,126,Magmar,Magmar,Fire,,Flame Body,,Vital Spirit,65,95,57,100,85,93,495,98.1 lbs.,"4'03""",Spitfire Pokemon,0.75,0.25,Magby,Human-Like,
127,127,Pinsir,Pinsir,Bug,,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,121.3 lbs.,"4'11""",Stag Beetle Pokemon,0.5,0.5,,Bug,
128,128,Tauros,Tauros,Normal,,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,194.9 lbs.,"4'07""",Wild Bull Pokemon,1,0,,Field,
129,129,Magikarp,Magikarp,Water,,Swift Swim,,Rattled,20,10,55,15,20,80,200,22.0 lbs.,"2'11""",Fish Pokemon,0.5,0.5,,Water 2,Dragon
130,130,Gyarados,Gyarados,Water,Flying,Intimidate,,Moxie,95,125,79,60,100,81,540,518.1 lbs.,"21'04""",Atrocious Pokemon,0.5,0.5,Magikarp,Water 2,Dragon
131,131,Lapras,Lapras,Water,Ice,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,485.0 lbs.,"8'02""",Transport Pokemon,0.5,0.5,,Monster,Water 1
132,132,Ditto,Ditto,Normal,,Limber,,Imposter,48,48,48,48,48,48,288,8.8 lbs.,"1'00""",Transform Pokemon,,,,Ditto,
133,133,Eevee,Eevee,Normal,,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,14.3 lbs.,"1'00""",Evolution Pokemon,0.875,0.125,,Field,
134,134,Vaporeon,Vaporeon,Water,,Water Absorb,,Hydration,130,65,60,110,95,65,525,63.9 lbs.,"3'03""",Bubble Jet Pokemon,0.875,0.125,Eevee,Field,
135,135,Jolteon,Jolteon,Electric,,Volt Absorb,,Quick Feet,65,65,60,110,95,130,525,54.0 lbs.,"2'07""",Lightning Pokemon,0.875,0.125,Eevee,Field,
136,136,Flareon,Flareon,Fire,,Flash Fire,,Guts,65,130,60,95,110,65,525,55.1 lbs.,"2'11""",Flame Pokemon,0.875,0.125,Eevee,Field,
137,137,Porygon,Porygon,Normal,,Trace,Download,Analytic,65,60,70,85,75,40,395,80.5 lbs.,"2'07""",Virtual Pokemon,0.875,0.125,,Mineral,
138,138,Omanyte,Omanyte,Rock,Water,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,16.5 lbs.,"1'04""",Spiral Pokemon,0.875,0.125,,Water 1,Water 3
139,139,Omastar,Omastar,Rock,Water,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,77.2 lbs.,"3'03""",Spiral Pokemon,0.875,0.125,Omanyte,Water 1,Water 3
140,140,Kabuto,Kabuto,Rock,Water,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,25.4 lbs.,"1'08""",Shellfish Pokemon,0.875,0.125,,Water 1,Water 3
141,141,Kabutops,Kabutops,Rock,Water,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,89.3 lbs.,"4'03""",Shellfish Pokemon,0.875,0.125,Kabuto,Water 1,Water 3
142,142,Aerodactyl,Aerodactyl,Rock,Flying,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,130.1 lbs.,"5'11""",Fossil Pokemon,0.875,0.125,,Flying,
143,143,Snorlax,Snorlax,Normal,,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,1014.1 lbs.,"6'11""",Sleeping Pokemon,0.875,0.125,Munchlax,Monster,
144,144,Articuno,Articuno,Ice,Flying,Pressure,,Snow Cloak,90,85,100,95,125,85,580,122.1 lbs.,"5'07""",Freeze Pokemon,,,,Undiscovered,
